,Player,FNAME
704,Jarrett Culver,Jarrett-Culver
705,Coby White,Coby-White
706,Jaxson Hayes,Jaxson-Hayes
707,Rui Hachimura,Rui-Hachimura
708,Cam Reddish,Cam-Reddish
709,Cameron Johnson,Cameron-Johnson
710,Tyler Herro,Tyler-Herro
711,Romeo Langford,Romeo-Langford
712,Chuma Okeke,Chuma-Okeke
713,Nickeil Alexander-Walker,Nickeil-Alexander-Walker
714,Matisse Thybulle,Matisse-Thybulle
715,Brandon Clarke,Brandon-Clarke
716,Grant Williams,Grant-Williams
717,Ty Jerome,Ty-Jerome
718,Nassir Little,Nassir-Little
719,Dylan Windler,Dylan-Windler
720,Mfiondu Kabengele,Mfiondu-Kabengele
721,Jordan Poole,Jordan-Poole
722,Keldon Johnson,Keldon-Johnson
723,Carsen Edwards,Carsen-Edwards
724,Bruno Fernando,Bruno-Fernando
725,Cody Martin,Cody-Martin
726,Daniel Gafford,Daniel-Gafford
727,Justin James,Justin-James
728,Eric Paschall,Eric-Paschall
729,Admiral Schofield,Admiral-Schofield
730,Jaylen Nowell,Jaylen-Nowell
731,Bol Bol,Bol-Bol
732,Isaiah Roby,Isaiah-Roby
733,Talen Horton-Tucker,Talen-Horton-Tucker
734,Ignas Brazdeikis,Ignas-Brazdeikis
735,Terance Mann,Terance-Mann
736,Quinndary Weatherspoon,Quinndary-Weatherspoon
737,Jarrell Brantley,Jarrell-Brantley
738,Tremont Waters,Tremont-Waters
739,Jalen McDaniels,Jalen-McDaniels
740,Justin Wright-Foreman,Justin-Wright-Foreman
741,Marial Shayok,Marial-Shayok
742,Kyle Guy,Kyle-Guy
743,Jordan Bone,Jordan-Bone
744,Miye Oni,Miye-Oni
745,Anthony Edwards,Anthony-Edwards
746,James Wiseman,James-Wiseman
747,Patrick Williams,Patrick-Williams
748,Isaac Okoro,Isaac-Okoro
749,Onyeka Okongwu,Onyeka-Okongwu
750,Jalen Smith,Jalen-Smith
751,Devin Vassell,Devin-Vassell
752,Tyrese Haliburton,Tyrese-Haliburton
753,Aaron Nesmith,Aaron-Nesmith
754,Cole Anthony,Cole-Anthony
755,Isaiah Stewart,Isaiah-Stewart
756,Saddiq Bey,Saddiq-Bey
757,Precious Achiuwa,Precious-Achiuwa
758,Tyrese Maxey,Tyrese-Maxey
759,Zeke Nnaji,Zeke-Nnaji
760,Immanuel Quickley,Immanuel-Quickley
761,Payton Pritchard,Payton-Pritchard
762,Udoka Azubuike,Udoka-Azubuike
763,Jaden McDaniels,Jaden-McDaniels
764,Malachi Flynn,Malachi-Flynn
765,Desmond Bane,Desmond-Bane
766,Tyrell Terry,Tyrell-Terry
767,Daniel Oturu,Daniel-Oturu
768,Xavier Tillman Sr.,Xavier-Tillman Sr.
769,Tyler Bey,Tyler-Bey
770,Saben Lee,Saben-Lee
771,Elijah Hughes,Elijah-Hughes
772,Tre Jones,Tre-Jones
773,Jordan Nwora,Jordan-Nwora
774,CJ Elleby,CJ-Elleby
775,Nico Mannion,Nico-Mannion
776,Isaiah Joe,Isaiah-Joe
777,Skylar Mays,Skylar-Mays
778,Cassius Winston,Cassius-Winston
779,Cassius Stanley,Cassius-Stanley
780,Grant Riller,Grant-Riller
781,Paul Reed,Paul-Reed
782,Jalen Harris,Jalen-Harris
783,Sam Merrill,Sam-Merrill
784,Cade Cunningham,Cade-Cunningham
785,Evan Mobley,Evan-Mobley
786,Scottie Barnes,Scottie-Barnes
787,Jalen Suggs,Jalen-Suggs
788,Franz Wagner,Franz-Wagner
789,Davion Mitchell,Davion-Mitchell
790,Ziaire Williams,Ziaire-Williams
791,James Bouknight,James-Bouknight
792,Joshua Primo,Joshua-Primo
793,Chris Duarte,Chris-Duarte
794,Moses Moody,Moses-Moody
795,Corey Kispert,Corey-Kispert
796,Trey Murphy III,Trey-Murphy III
797,Tre Mann,Tre-Mann
798,Kai Jones,Kai-Jones
799,Jalen Johnson,Jalen-Johnson
800,Keon Johnson,Keon-Johnson
801,Isaiah Jackson,Isaiah-Jackson
802,Josh Christopher,Josh-Christopher
803,Quentin Grimes,Quentin-Grimes
804,Jaden Springer,Jaden-Springer
805,Santi Aldama,Santi-Aldama
806,Jeremiah Robinson-Earl,Jeremiah-Robinson-Earl
807,Jason Preston,Jason-Preston
808,Herbert Jones,Herbert-Jones
809,Miles McBride,Miles-McBride
810,JT Thor,JT-Thor
811,Ayo Dosunmu,Ayo-Dosunmu
812,Neemias Queta,Neemias-Queta
813,Jared Butler,Jared-Butler
814,Joe Wieskamp,Joe-Wieskamp
815,Isaiah Livers,Isaiah-Livers
816,Kessler Edwards,Kessler-Edwards
817,Dalano Banton,Dalano-Banton
818,David Johnson,David-Johnson
819,Sharife Cooper,Sharife-Cooper
820,Luka Garza,Luka-Garza
821,Charles Bassey,Charles-Bassey
822,Sandro Mamukelashvili,Sandro-Mamukelashvili
823,Aaron Wiggins,Aaron-Wiggins
824,Scottie Lewis,Scottie-Lewis
825,Jericho Sims,Jericho-Sims
826,RaiQuan Gray,RaiQuan-Gray
